,1,rbf,linear,poli
"(0, 3, 2)","(0, 1, 2)",0.615,0.66,0.51
"(0, 3, 2)","(0, 3, 1)",0.735,1.0,0.52
"(0, 3, 2)","(0, 3, 1.5)",0.71,0.985,0.52
"(0, 5, 1)","(0, 1, 1)",1.0,1.0,1.0
"(0, 5, 1)","(0, 1, 1.5)",0.995,0.99,0.99
"(0, 5, 1)","(0, 1, 2)",0.78,0.865,0.61
"(0, 5, 1)","(0, 3, 1)",0.995,0.995,0.995
"(0, 5, 1)","(0, 3, 1.5)",0.665,0.675,0.675
"(0, 5, 1)","(0, 3, 2)",0.72,1.0,0.52
"(0, 5, 1.5)","(0, 1, 1)",1.0,1.0,0.995
"(0, 5, 1.5)","(0, 1, 1.5)",0.995,0.995,0.99
"(0, 5, 1.5)","(0, 1, 2)",0.67,0.675,0.6
"(0, 5, 1.5)","(0, 3, 1)",0.995,1.0,0.995
"(0, 5, 1.5)","(0, 3, 1.5)",0.885,0.885,0.865
"(0, 5, 1.5)","(0, 3, 2)",0.685,0.95,0.52
"(0, 5, 1.5)","(0, 5, 1)",0.985,0.985,0.98
"(0, 5, 2)","(0, 1, 1)",0.96,1.0,0.635
"(0, 5, 2)","(0, 1, 1.5)",0.94,1.0,0.635
"(0, 5, 2)","(0, 1, 2)",0.735,0.76,0.585
"(0, 5, 2)","(0, 3, 1)",0.935,1.0,0.635
"(0, 5, 2)","(0, 3, 1.5)",0.925,0.985,0.635
"(0, 5, 2)","(0, 3, 2)",0.575,0.55,0.505
"(0, 5, 2)","(0, 5, 1)",0.935,1.0,0.635
"(0, 5, 2)","(0, 5, 1.5)",0.895,0.965,0.635
"(5, 1, 1)","(0, 1, 1)",1.0,1.0,1.0
"(5, 1, 1)","(0, 1, 1.5)",1.0,1.0,1.0
"(5, 1, 1)","(0, 1, 2)",1.0,1.0,0.61
"(5, 1, 1)","(0, 3, 1)",1.0,1.0,1.0
"(5, 1, 1)","(0, 3, 1.5)",1.0,1.0,1.0
"(5, 1, 1)","(0, 3, 2)",0.735,1.0,0.52
"(5, 1, 1)","(0, 5, 1)",1.0,1.0,1.0
"(5, 1, 1)","(0, 5, 1.5)",1.0,1.0,1.0
"(5, 1, 1)","(0, 5, 2)",0.96,1.0,0.635
"(5, 1, 1.5)","(0, 1, 1)",1.0,1.0,1.0
"(5, 1, 1.5)","(0, 1, 1.5)",1.0,1.0,1.0
"(5, 1, 1.5)","(0, 1, 2)",1.0,1.0,0.61
"(5, 1, 1.5)","(0, 3, 1)",1.0,1.0,1.0
"(5, 1, 1.5)","(0, 3, 1.5)",1.0,1.0,1.0
"(5, 1, 1.5)","(0, 3, 2)",0.735,1.0,0.52
"(5, 1, 1.5)","(0, 5, 1)",1.0,1.0,1.0
"(5, 1, 1.5)","(0, 5, 1.5)",1.0,1.0,1.0
"(5, 1, 1.5)","(0, 5, 2)",0.945,1.0,0.635
"(5, 1, 1.5)","(5, 1, 1)",0.98,0.985,0.98
